genename.genes	logFC	logCPM	LR	PValue	qvalue
Cops5	1.1684896403334	6.15017251039164	92.5401163313972	6.59738096494433e-22	7.4511202589351e-21
Cops6	0.917315349815936	6.17942353136413	63.9851475577592	1.25360739705391e-15	8.76106891756282e-15
Cops7a	0.695240181294404	6.48632660782667	47.7388440659532	4.86947266323796e-12	2.54434523226235e-11
Cops7b	0.489686298241827	4.52659868240029	13.8914076143315	0.000193681894317499	0.000500825344864249
Cops8	1.17534362137229	6.61794547423383	108.335057853675	2.26974143331661e-25	3.32945316583739e-24
Copz1	0.690821407230526	7.02932082819693	37.1170798810342	1.1124503857685e-09	4.78041964806181e-09
Copz2	-1.18331880950602	4.71466768334392	55.7342693187708	8.29594513487752e-14	4.97532977101959e-13
Coq10a	-0.932304898538497	4.163844935606	34.4750322719574	4.31754229157971e-09	1.75239104727413e-08
Coq10b	2.24716814175875	5.33161834009827	117.91078046348	1.81365389268058e-27	3.16826671370233e-26
Coq2	-0.397067584765586	5.92279193670345	8.86615328065703	0.00290506656994645	0.00647064006234666
Coq4	0.383097515439829	3.93847614750461	6.6900042476645	0.00969549740440195	0.020002641365534
Coq5	0.68528588046622	5.36080609257745	36.2632543592206	1.72383625884991e-09	7.27413106723043e-09
Coq6	0.457906579105494	4.62882602534201	10.8947848141755	0.000964353915947509	0.00230545069692977
Coq9	-0.57197655232236	4.91939901915669	22.2330287635204	2.41483786770785e-06	7.58598170675054e-06
Corin	-2.04988291589177	0.852857737764841	6.90367654573832	0.00860186765045648	0.0178840999262202
Coro1b	-0.307868312464154	7.03367729619799	6.8671394436105	0.00877950739989017	0.0182312714127143
Coro2b	1.9928164251674	2.73644501353739	22.0420272786939	2.66745340636027e-06	8.34653564804274e-06
Coro6	-3.68902216245614	4.7114187004111	155.343151872253	1.17816221599767e-35	3.84727920108019e-34
Coro7	-0.46470186470716	5.25140636520776	17.0419929344277	3.65622193573901e-05	0.000101990797048375
Cort	-2.66651002380648	-0.809311597035857	27.7347334298696	1.39141913748361e-07	4.93577584612546e-07
Cotl1	0.825865276506508	6.03581421984965	17.8820144024528	2.3503184226599e-05	6.70683704389975e-05
Cox10	1.77419247489075	4.37431213894891	126.399422095349	2.51426648533954e-29	5.05993285981725e-28
Cox11	0.633282208480276	3.55922384392817	15.3417513412882	8.97117538132521e-05	0.000240362648349289
Cox15	0.260267957217166	5.01365176327937	6.29552211867266	0.0121043357812834	0.0245621150747495
Cox16	0.640962433140102	1.1430133796887	5.05716989282502	0.0245242546478283	0.0470593126981108
Cox18	1.18489732372906	3.85303504319406	66.6925004646937	3.17340097553699e-16	2.33212461645709e-15
Cox19	0.586340967483899	4.35707647122198	12.681538480803	0.000369283596936105	0.000928029000866212
Cox4nb	0.71196866171782	6.14969560617467	51.7061303140612	6.44611651488729e-13	3.61170922292929e-12
Cox5a	2.04309004933982	5.96438666803132	134.135482961028	5.10315418268979e-31	1.17478201567966e-29
Cox5b	0.862802195488403	6.3524160204938	27.1848633694906	1.84900639981354e-07	6.48143195445356e-07
Cox6a1	0.620164077111823	6.58389101856598	21.0341460029204	4.51170581447259e-06	1.38292644937617e-05
Cox6b1	0.515836095736015	6.50238405382724	12.4431133436472	0.00041953586039234	0.00104874533086835
Cox6b2	-1.99930111394053	3.49414942526103	86.8729663940871	1.15720388869013e-20	1.19104562159818e-19
Cox7a2	0.700305303533089	6.2953707840169	20.2928517517384	6.64483759078762e-06	2.00499183641703e-05
Cox7a2l	-1.1160149793716	7.53444880978469	47.0621651208202	6.8770484844784e-12	3.54830172152739e-11
Cox7c	0.442763863674879	5.80040014969995	7.70305405866334	0.00551274712946264	0.0118229791363671
Cp	-0.960719971233217	5.7393636078731	20.981232072563	4.63804648924195e-06	1.41950010773139e-05
Cpa6	-1.6314437196995	1.39585574012348	17.9320975529129	2.28927561059054e-05	6.54103957706701e-05
Cpb1	-1.90539242975094	-1.57238751667951	10.0624514397536	0.00151321743453258	0.00351262310116238
Cpd	-0.938347059339528	7.41539080676591	49.3339698919741	2.15891426865638e-12	1.16585564609958e-11
Cpe	-1.18160067284029	7.97895292475136	46.2391288700861	1.04665676515788e-11	5.32499499967535e-11
Cpeb1	-1.20510997876881	5.79069435974922	72.3130811937661	1.83626146676565e-17	1.48382203844239e-16
Cpeb2	0.949033256818185	4.12686911253326	29.003757557299	7.22380416608478e-08	2.63047252407718e-07
Cpeb3	-1.42402573200943	3.12140883130283	34.6258523820682	3.99564419974216e-09	1.62768154815655e-08
Cpeb4	0.80326024097492	5.47940327744661	19.4677034993286	1.02315095621574e-05	3.02684993538988e-05
Cplx2	-1.08245105872047	5.26242431632842	39.1420829824656	3.9405794128828e-10	1.76141919565202e-09
Cpm	-2.11122661256961	4.01419992787827	90.2539118313066	2.09475730691804e-21	2.27902216199821e-20
Cpne1	0.368683097724958	6.53211223123523	11.8417083403547	0.000579186660628533	0.00142209925572014
Cpne2	-0.562984830725223	3.67423455666837	6.30357484160727	0.0120494741207735	0.0244574849851918
Cpne5	-2.05113541099177	5.55962752445437	56.308420764323	6.19495444941674e-14	3.74560622746409e-13
Cpne6	-4.104472416915	-2.70592279242709	9.61443256083637	0.00193054104809104	0.00440773838064153
Cpne8	1.30946028789577	4.65067359225266	52.1368856845472	5.17634014864906e-13	2.91938757863703e-12
Cpped1	-0.667256268294571	5.0848735281468	27.3999276367685	1.65437428144567e-07	5.83319728409525e-07
Cpsf1	0.690654821169738	7.22523835721782	47.4150723269391	5.74393306143154e-12	2.98476832021161e-11
Cpsf2	1.51066784691858	6.00984994160455	161.782813659066	4.61464281204879e-37	1.68506448036685e-35
Cpsf3l	0.827800939345302	5.24031090109613	42.8570925165316	5.88881958431261e-11	2.81867348075643e-10
Cpsf4	0.830882996183494	5.07142031654469	41.2924474971483	1.31074350342025e-10	6.0890566177271e-10
Cpsf4l	-2.82906347813776	1.25888529465014	29.802305839791	4.78422626664727e-08	1.77201238703701e-07
Cpsf7	0.495501520629238	7.46640027033853	24.5875747762182	7.1008116835957e-07	2.35367193650024e-06
Cpt1a	-0.828665085183839	6.91501360432441	35.3289057496546	2.78468294481575e-09	1.15468542470283e-08
Cpt1b	-0.829175196309468	1.99666214763989	10.8564970630512	0.00098449742322948	0.00234855757324364
